"id","created_at","updated_at","device_id","bugreport","end_time","status","os","device_type","number_meetings","sum_meetings","has_error","error","comment","ecs_arn"
"01H96QR2XNY92Q99CBZJC37Q3R",2023-09-01 02:54:50.000 +0530,2023-09-01 03:03:36.000 +0530,"2241LZ502B38",bugreports/2241LZ502B38/debugarchive/2023-08-31/2023-08-31T21:24:21.022Z,2023-09-01 02:54:21.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/b6d6359932fa410ebbf0e245f74313d8
"01H96QSCKX2QC9AFWVETTQ1G2V",2023-09-01 02:55:32.000 +0530,2023-09-01 03:15:41.000 +0530,"2319LZ51KBP8",bugreports/2319LZ51KBP8/debugarchive/2023-08-31/2023-08-31T21:25:16.106Z,2023-09-01 02:55:16.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/ca307b91a62c478e9fa6eece4584a050
"01H96R5YDQZ36S1XYHXH216NWK",2023-09-01 03:02:24.000 +0530,2023-09-01 03:09:18.000 +0530,"2323LZ535JL8",bugreports/2323LZ535JL8/debugarchive/2023-08-31/2023-08-31T21:31:59.647Z,2023-09-01 03:02:00.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/1b6b6b16c43f4c759c2d2fdb2ab7229a
"01H96QRGF2A2ARKASA9MWVT5V0",2023-09-01 02:55:04.000 +0530,2023-09-01 03:07:41.000 +0530,"2323LZ535JF8",bugreports/2323LZ535JF8/debugarchive/2023-08-31/2023-08-31T21:24:52.074Z,2023-09-01 02:54:52.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/7ff287e846a04ab68a22cad76297d42d
"01H96RFM4KY9KK06RVE2ZGNVJZ",2023-09-01 03:07:41.000 +0530,2023-09-01 03:18:47.000 +0530,"2241LZ5028P8",bugreports/2241LZ5028P8/debugarchive/2023-08-31/2023-08-31T21:37:27.602Z,2023-09-01 03:07:28.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/9d50b5488d4e4f9ca5129149a1fa5155
"01H96RMK2G668137VJ2MS7YA04",2023-09-01 03:10:24.000 +0530,2023-09-01 03:14:48.000 +0530,"2241LZ502D08",bugreports/2241LZ502D08/debugarchive/2023-08-31/2023-08-31T21:39:49.340Z,2023-09-01 03:09:49.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/6aa6cb269bbc45eab91dc1a81ac6afca
"01H96SMSWS12H2DJFJSTSKTY95",2023-09-01 03:27:59.000 +0530,2023-09-01 03:42:05.000 +0530,"2323LZ535K18",bugreports/2323LZ535K18/debugarchive/2023-08-31/2023-08-31T21:57:46.547Z,2023-09-01 03:27:47.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/86bec63e913045559fdf8a51d0df5e9f
"01H96SZEVXMB2WYJ4ME82FRCW7",2023-09-01 03:33:48.000 +0530,2023-09-01 03:40:10.000 +0530,"2323LZ50B918",bugreports/2323LZ50B918/debugarchive/2023-08-31/2023-08-31T22:02:45.557Z,2023-09-01 03:32:46.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/89f53693b5224f01a623203c74549292
"01H96T1PZDANQ2NKX4YXKQYC28",2023-09-01 03:35:02.000 +0530,2023-09-01 03:54:07.000 +0530,"2324LZ51P0V8",bugreports/2324LZ51P0V8/debugarchive/2023-08-31/2023-08-31T22:03:41.226Z,2023-09-01 03:33:41.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/6728d545c16c49549467de8d1587fcf5
"01H96TG1XCHDTB4D9C2RZEQVT4",2023-09-01 03:42:52.000 +0530,2023-09-01 03:49:26.000 +0530,"2323LZ5172D8",bugreports/2323LZ5172D8/debugarchive/2023-08-31/2023-08-31T22:12:35.158Z,2023-09-01 03:42:35.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/37b71e3e92ad4c3e9c61fa3d15c78e78
